#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1712	0.107163	0.096637	0.118677	0.0908874	0.125656	
Bovidae	yes	195	0.0122272	0.0109205	0.0136828	0.0102064	0.0145489	
Calyptratae	yes	5505	0.344821	0.31971	0.370452	0.305826	0.38594	
Colubroidea	yes	1161	0.0726583	0.065454	0.0805872	0.0614768	0.0858025	
Cryptorhynchinae	yes	275	0.0171983	0.0153551	0.0191949	0.0143663	0.0205383	
Lampyridae	yes	3291	0.206108	0.187979	0.225926	0.178393	0.237828	
Lycosoidea	yes	681	0.042599	0.0382028	0.0474318	0.0359187	0.0505743	
Mus	yes	278	0.0173691	0.015584	0.0194281	0.0146	0.0208427	
Myotis	yes	442	0.0276684	0.0246873	0.0308741	0.0230888	0.0330529	
Rattus	yes	559	0.0348925	0.031312	0.0390362	0.0294098	0.0417526	
Ursidae	yes	1617	0.101247	0.0912313	0.112286	0.0857976	0.119282	
Xerinae	yes	205	0.0128138	0.0114459	0.0143074	0.0107392	0.0153091
