#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1901	0.106601	0.0961854	0.117921	0.0904879	0.125213	
Bovidae	yes	280	0.0156977	0.0140062	0.0175141	0.0130877	0.0186615	
Calyptratae	yes	6104	0.342701	0.31755	0.368649	0.303471	0.382966	
Colubroidea	yes	1255	0.0703894	0.0632895	0.0784142	0.0594151	0.0833006	
Cryptorhynchinae	yes	253	0.0141796	0.0126452	0.0158472	0.0118176	0.0169116	
Lampyridae	yes	3524	0.197668	0.179391	0.216208	0.169515	0.228059	
Lycosoidea	yes	717	0.0402068	0.0361713	0.0448826	0.0339256	0.0478363	
Mus	yes	323	0.0180711	0.0161921	0.0201834	0.0152009	0.0215387	
Myotis	yes	550	0.0308305	0.0276273	0.0344208	0.025857	0.0366693	
Rattus	yes	668	0.037442	0.0336123	0.0417789	0.0314914	0.0444656	
Ursidae	yes	1975	0.110576	0.0996505	0.122246	0.0942747	0.129881	
Xerinae	yes	230	0.0128882	0.0115306	0.0144309	0.0107832	0.0153463
