#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1326	0.110599	0.0998572	0.122609	0.09391	0.129964	
Bovidae	yes	138	0.011528	0.010262	0.0128684	0.0096046	0.0137203	
Calyptratae	yes	4203	0.351161	0.325777	0.376879	0.311565	0.392715	
Colubroidea	yes	851	0.0710348	0.063834	0.0789579	0.0600073	0.0838751	
Cryptorhynchinae	yes	183	0.0152718	0.0136301	0.0170878	0.0127944	0.0182549	
Lampyridae	yes	2485	0.207464	0.188747	0.227242	0.178329	0.239272	
Lycosoidea	yes	501	0.0417928	0.0374421	0.0466264	0.0351165	0.0497702	
Mus	yes	199	0.0166289	0.014871	0.0186049	0.0138906	0.0199228	
Myotis	yes	326	0.0271713	0.0243598	0.0303988	0.0227612	0.0324294	
Rattus	yes	422	0.0351691	0.0315154	0.0392641	0.0295743	0.0419144	
Ursidae	yes	1167	0.0974887	0.0877476	0.10764	0.0824861	0.114074	
Xerinae	yes	142	0.0118583	0.010585	0.0132784	0.00989749	0.0141735
