#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1237	0.108303	0.0976151	0.119992	0.0917004	0.127057	
Bovidae	yes	132	0.0115638	0.0103071	0.0129436	0.00965638	0.0138434	
Calyptratae	yes	3980	0.349059	0.324283	0.374559	0.310214	0.389486	
Colubroidea	yes	813	0.0711059	0.0640685	0.079055	0.0601328	0.0842341	
Cryptorhynchinae	yes	177	0.0154926	0.0138442	0.0172914	0.0129743	0.0184926	
Lampyridae	yes	2380	0.208128	0.190169	0.227975	0.179936	0.240227	
Lycosoidea	yes	495	0.0433606	0.0388784	0.048246	0.0364764	0.0514511	
Mus	yes	185	0.0162037	0.0144619	0.018127	0.013519	0.019367	
Myotis	yes	316	0.0276648	0.0248753	0.030872	0.0232894	0.0329232	
Rattus	yes	409	0.0357758	0.0320207	0.0400238	0.0299325	0.0425691	
Ursidae	yes	1114	0.097446	0.0877851	0.108407	0.082675	0.114881	
Xerinae	yes	143	0.012485	0.0111726	0.0139816	0.01045	0.0149001
