#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1343	0.109547	0.0987797	0.121263	0.0930305	0.128556	
Bovidae	yes	148	0.0120569	0.0107678	0.013499	0.0100639	0.0143915	
Calyptratae	yes	4293	0.350068	0.325227	0.376523	0.311283	0.392025	
Colubroidea	yes	876	0.0713923	0.0640104	0.0793813	0.0599007	0.0842478	
Cryptorhynchinae	yes	185	0.0150748	0.013501	0.0168381	0.012626	0.0179655	
Lampyridae	yes	2516	0.205339	0.18706	0.22466	0.177304	0.236139	
Lycosoidea	yes	506	0.0411849	0.036937	0.046014	0.034655	0.0490547	
Mus	yes	212	0.0172993	0.015463	0.0193498	0.0145393	0.0206353	
Myotis	yes	347	0.0282753	0.0253147	0.0315406	0.0237334	0.0336932	
Rattus	yes	445	0.0362569	0.0324792	0.0403675	0.0304645	0.04305	
Ursidae	yes	1209	0.0986195	0.088718	0.108973	0.083399	0.115772	
Xerinae	yes	148	0.0120416	0.0107471	0.0134672	0.0101118	0.0143883
