#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1323	0.110669	0.100115	0.122701	0.0943647	0.130342	
Bovidae	yes	134	0.0112576	0.0100391	0.0125508	0.00939092	0.013412	
Calyptratae	yes	4195	0.352961	0.327392	0.378693	0.312595	0.394615	
Colubroidea	yes	842	0.0706347	0.0632023	0.0784003	0.0594791	0.0834676	
Cryptorhynchinae	yes	182	0.0152388	0.013643	0.0170146	0.0127126	0.0181733	
Lampyridae	yes	2476	0.207486	0.189297	0.227102	0.179001	0.238836	
Lycosoidea	yes	501	0.0419247	0.0375438	0.0467393	0.035117	0.0499266	
Mus	yes	197	0.0165154	0.0147705	0.0184308	0.0138106	0.0196755	
Myotis	yes	324	0.0271624	0.0243028	0.0303138	0.0227915	0.0324349	
Rattus	yes	416	0.0348128	0.0311772	0.0389755	0.0291881	0.0415403	
Ursidae	yes	1153	0.0966471	0.0870098	0.107148	0.0817465	0.113582	
Xerinae	yes	142	0.0118532	0.0106121	0.0132725	0.00992742	0.0141849
