#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1331	0.110551	0.0997981	0.122379	0.0938162	0.129782	
Bovidae	yes	140	0.01163	0.0103929	0.0129927	0.00973357	0.0138445	
Calyptratae	yes	4222	0.351569	0.325929	0.37808	0.311216	0.394116	
Colubroidea	yes	855	0.0710814	0.0637805	0.0790451	0.0599663	0.0842174	
Cryptorhynchinae	yes	184	0.0152778	0.0136822	0.0170802	0.012728	0.0182395	
Lampyridae	yes	2489	0.20667	0.188008	0.226682	0.178188	0.238818	
Lycosoidea	yes	502	0.0415817	0.037365	0.046466	0.0349915	0.0495861	
Mus	yes	203	0.016831	0.0150768	0.0188689	0.0141601	0.0201344	
Myotis	yes	326	0.0270409	0.0241733	0.030151	0.0225586	0.0322201	
Rattus	yes	426	0.0354177	0.0316442	0.0394528	0.0296717	0.0419873	
Ursidae	yes	1173	0.0974402	0.0877323	0.107874	0.0823718	0.114483	
Xerinae	yes	142	0.0117847	0.0105225	0.0131912	0.00984922	0.0140428
