Damage,Tool,Metric,Value
ddhigh,giraffe,Precision,0.99770
ddhigh,giraffe,Recall,0.49737
ddhigh,giraffe,Correct mitochondrial mappings,19113
ddhigh,giraffe,Incorrect mitochondrial mappings,44
ddhigh,giraffe,Mito reads mapped,1925336
ddhigh,giraffe,Mito reads unmapped,19315
ddhigh,giraffe,Bacteria reads mapped,968
ddhigh,giraffe,Bacteria reads unmapped,7587552
ddhigh,giraffe,NuMT reads mapped,5645
ddhigh,giraffe,NuMT reads unmapped,24045
ddhigh,giraffe,Precision,1.00000
ddhigh,giraffe,Recall,0.55618
ddhigh,safari,Precision,0.99770
ddhigh,safari,Recall,0.55750
ddhigh,safari,Correct mitochondrial mappings,19116
ddhigh,safari,Incorrect mitochondrial mappings,44
ddhigh,safari,Mito reads mapped,1929458
ddhigh,safari,Mito reads unmapped,15173
ddhigh,safari,Bacteria reads mapped,2645
ddhigh,safari,Bacteria reads unmapped,7585875
ddhigh,safari,NuMT reads mapped,5614
ddhigh,safari,NuMT reads unmapped,24076
ddhigh,safari,Precision,1.00000
ddhigh,safari,Recall,0.55637
ddmid,giraffe,Precision,0.99807
ddmid,giraffe,Recall,0.98946
ddmid,giraffe,Correct mitochondrial mappings,19149
ddmid,giraffe,Incorrect mitochondrial mappings,37
ddmid,giraffe,Mito reads mapped,1944890
ddmid,giraffe,Mito reads unmapped,204
ddmid,giraffe,Bacteria reads mapped,1136
ddmid,giraffe,Bacteria reads unmapped,7586368
ddmid,giraffe,NuMT reads mapped,7862
ddmid,giraffe,NuMT reads unmapped,22180
ddmid,giraffe,Precision,1.00000
ddmid,giraffe,Recall,0.55689
ddmid,safari,Precision,0.99807
ddmid,safari,Recall,0.99372
ddmid,safari,Correct mitochondrial mappings,19149
ddmid,safari,Incorrect mitochondrial mappings,37
ddmid,safari,Mito reads mapped,1944973
ddmid,safari,Mito reads unmapped,121
ddmid,safari,Bacteria reads mapped,2671
ddmid,safari,Bacteria reads unmapped,7584833
ddmid,safari,NuMT reads mapped,7919
ddmid,safari,NuMT reads unmapped,22123
ddmid,safari,Precision,1.00000
ddmid,safari,Recall,0.55695
dnone,giraffe,Precision,0.99812
dnone,giraffe,Recall,0.99963
dnone,giraffe,Correct mitochondrial mappings,19151
dnone,giraffe,Incorrect mitochondrial mappings,36
dnone,giraffe,Mito reads mapped,1945107
dnone,giraffe,Mito reads unmapped,7
dnone,giraffe,Bacteria reads mapped,1320
dnone,giraffe,Bacteria reads unmapped,7586976
dnone,giraffe,NuMT reads mapped,7859
dnone,giraffe,NuMT reads unmapped,21905
dnone,giraffe,Precision,1.00000
dnone,giraffe,Recall,0.55690
dnone,safari,Precision,0.99812
dnone,safari,Recall,0.99963
dnone,safari,Correct mitochondrial mappings,19151
dnone,safari,Incorrect mitochondrial mappings,36
dnone,safari,Mito reads mapped,1945107
dnone,safari,Mito reads unmapped,7
dnone,safari,Bacteria reads mapped,2946
dnone,safari,Bacteria reads unmapped,7585350
dnone,safari,NuMT reads mapped,7795
dnone,safari,NuMT reads unmapped,21969
dnone,safari,Precision,1.00000
dnone,safari,Recall,0.55695
dsingle,giraffe,Precision,0.99812
dsingle,giraffe,Recall,0.99734
dsingle,giraffe,Correct mitochondrial mappings,19151
dsingle,giraffe,Incorrect mitochondrial mappings,36
dsingle,giraffe,Mito reads mapped,1945165
dsingle,giraffe,Mito reads unmapped,51
dsingle,giraffe,Bacteria reads mapped,1216
dsingle,giraffe,Bacteria reads unmapped,7587248
dsingle,giraffe,NuMT reads mapped,7996
dsingle,giraffe,NuMT reads unmapped,22202
dsingle,giraffe,Precision,1.00000
dsingle,giraffe,Recall,0.55690
dsingle,safari,Precision,0.99812
dsingle,safari,Recall,0.99781
dsingle,safari,Correct mitochondrial mappings,19151
dsingle,safari,Incorrect mitochondrial mappings,36
dsingle,safari,Mito reads mapped,1945174
dsingle,safari,Mito reads unmapped,42
dsingle,safari,Bacteria reads mapped,3284
dsingle,safari,Bacteria reads unmapped,7585180
dsingle,safari,NuMT reads mapped,7951
dsingle,safari,NuMT reads unmapped,22247
dsingle,safari,Precision,1.00000
dsingle,safari,Recall,0.55697
