Damage,Tool,Metric,Value
ddhigh,giraffe,Precision,0.99770
ddhigh,giraffe,Recall,0.37959
ddhigh,giraffe,Correct mitochondrial mappings,19083
ddhigh,giraffe,Incorrect mitochondrial mappings,44
ddhigh,giraffe,Mito reads mapped,1913482
ddhigh,giraffe,Mito reads unmapped,31190
ddhigh,giraffe,Bacteria reads mapped,376
ddhigh,giraffe,Bacteria reads unmapped,7588144
ddhigh,giraffe,NuMT reads mapped,5524
ddhigh,giraffe,NuMT reads unmapped,24166
ddhigh,giraffe,Precision,1.00000
ddhigh,giraffe,Recall,0.55577
ddhigh,safari,Precision,0.99770
ddhigh,safari,Recall,0.56003
ddhigh,safari,Correct mitochondrial mappings,19120
ddhigh,safari,Incorrect mitochondrial mappings,44
ddhigh,safari,Mito reads mapped,1929635
ddhigh,safari,Mito reads unmapped,15021
ddhigh,safari,Bacteria reads mapped,955
ddhigh,safari,Bacteria reads unmapped,7587565
ddhigh,safari,NuMT reads mapped,5968
ddhigh,safari,NuMT reads unmapped,23722
ddhigh,safari,Precision,1.00000
ddhigh,safari,Recall,0.55633
ddmid,giraffe,Precision,0.99807
ddmid,giraffe,Recall,0.98160
ddmid,giraffe,Correct mitochondrial mappings,19149
ddmid,giraffe,Incorrect mitochondrial mappings,37
ddmid,giraffe,Mito reads mapped,1944735
ddmid,giraffe,Mito reads unmapped,359
ddmid,giraffe,Bacteria reads mapped,720
ddmid,giraffe,Bacteria reads unmapped,7586784
ddmid,giraffe,NuMT reads mapped,7569
ddmid,giraffe,NuMT reads unmapped,22473
ddmid,giraffe,Precision,1.00000
ddmid,giraffe,Recall,0.55686
ddmid,safari,Precision,0.99807
ddmid,safari,Recall,0.99388
ddmid,safari,Correct mitochondrial mappings,19149
ddmid,safari,Incorrect mitochondrial mappings,37
ddmid,safari,Mito reads mapped,1944976
ddmid,safari,Mito reads unmapped,118
ddmid,safari,Bacteria reads mapped,1318
ddmid,safari,Bacteria reads unmapped,7586186
ddmid,safari,NuMT reads mapped,8183
ddmid,safari,NuMT reads unmapped,21859
ddmid,safari,Precision,1.00000
ddmid,safari,Recall,0.55691
dnone,giraffe,Precision,0.99812
dnone,giraffe,Recall,0.99901
dnone,giraffe,Correct mitochondrial mappings,19151
dnone,giraffe,Incorrect mitochondrial mappings,36
dnone,giraffe,Mito reads mapped,1945095
dnone,giraffe,Mito reads unmapped,19
dnone,giraffe,Bacteria reads mapped,480
dnone,giraffe,Bacteria reads unmapped,7587816
dnone,giraffe,NuMT reads mapped,7569
dnone,giraffe,NuMT reads unmapped,22195
dnone,giraffe,Precision,1.00000
dnone,giraffe,Recall,0.55687
dnone,safari,Precision,0.99812
dnone,safari,Recall,0.99963
dnone,safari,Correct mitochondrial mappings,19151
dnone,safari,Incorrect mitochondrial mappings,36
dnone,safari,Mito reads mapped,1945107
dnone,safari,Mito reads unmapped,7
dnone,safari,Bacteria reads mapped,955
dnone,safari,Bacteria reads unmapped,7587341
dnone,safari,NuMT reads mapped,8196
dnone,safari,NuMT reads unmapped,21568
dnone,safari,Precision,1.00000
dnone,safari,Recall,0.55690
dsingle,giraffe,Precision,0.99812
dsingle,giraffe,Recall,0.99568
dsingle,giraffe,Correct mitochondrial mappings,19151
dsingle,giraffe,Incorrect mitochondrial mappings,36
dsingle,giraffe,Mito reads mapped,1945133
dsingle,giraffe,Mito reads unmapped,83
dsingle,giraffe,Bacteria reads mapped,640
dsingle,giraffe,Bacteria reads unmapped,7587824
dsingle,giraffe,NuMT reads mapped,7586
dsingle,giraffe,NuMT reads unmapped,22612
dsingle,giraffe,Precision,1.00000
dsingle,giraffe,Recall,0.55687
dsingle,safari,Precision,0.99812
dsingle,safari,Recall,0.99818
dsingle,safari,Correct mitochondrial mappings,19151
dsingle,safari,Incorrect mitochondrial mappings,36
dsingle,safari,Mito reads mapped,1945181
dsingle,safari,Mito reads unmapped,35
dsingle,safari,Bacteria reads mapped,1340
dsingle,safari,Bacteria reads unmapped,7587124
dsingle,safari,NuMT reads mapped,8418
dsingle,safari,NuMT reads unmapped,21780
dsingle,safari,Precision,1.00000
dsingle,safari,Recall,0.55692
