Damage,Tool,Metric,Value
ddhigh,giraffe,Precision,0.99792
ddhigh,giraffe,Recall,0.02028
ddhigh,giraffe,Correct mitochondrial mappings,15356
ddhigh,giraffe,Incorrect mitochondrial mappings,32
ddhigh,giraffe,Mito reads mapped,1204877
ddhigh,giraffe,Mito reads unmapped,741974
ddhigh,giraffe,Bacteria reads mapped,0
ddhigh,giraffe,Bacteria reads unmapped,7588520
ddhigh,giraffe,NuMT reads mapped,893
ddhigh,giraffe,NuMT reads unmapped,28797
ddhigh,giraffe,Precision,1.00000
ddhigh,giraffe,Recall,0.53363
ddhigh,safari,Precision,0.99805
ddhigh,safari,Recall,0.02252
ddhigh,safari,Correct mitochondrial mappings,15880
ddhigh,safari,Incorrect mitochondrial mappings,31
ddhigh,safari,Mito reads mapped,1257706
ddhigh,safari,Mito reads unmapped,689131
ddhigh,safari,Bacteria reads mapped,0
ddhigh,safari,Bacteria reads unmapped,7588520
ddhigh,safari,NuMT reads mapped,1054
ddhigh,safari,NuMT reads unmapped,28636
ddhigh,safari,Precision,1.00000
ddhigh,safari,Recall,0.53522
ddmid,giraffe,Precision,0.99820
ddmid,giraffe,Recall,0.05589
ddmid,giraffe,Correct mitochondrial mappings,18847
ddmid,giraffe,Incorrect mitochondrial mappings,34
ddmid,giraffe,Mito reads mapped,1628012
ddmid,giraffe,Mito reads unmapped,318377
ddmid,giraffe,Bacteria reads mapped,0
ddmid,giraffe,Bacteria reads unmapped,7587504
ddmid,giraffe,NuMT reads mapped,1411
ddmid,giraffe,NuMT reads unmapped,28631
ddmid,giraffe,Precision,1.00000
ddmid,giraffe,Recall,0.54656
ddmid,safari,Precision,0.99820
ddmid,safari,Recall,0.05685
ddmid,safari,Correct mitochondrial mappings,18878
ddmid,safari,Incorrect mitochondrial mappings,34
ddmid,safari,Mito reads mapped,1633225
ddmid,safari,Mito reads unmapped,313164
ddmid,safari,Bacteria reads mapped,0
ddmid,safari,Bacteria reads unmapped,7587504
ddmid,safari,NuMT reads mapped,2009
ddmid,safari,NuMT reads unmapped,28033
ddmid,safari,Precision,1.00000
ddmid,safari,Recall,0.54674
dnone,giraffe,Precision,0.99833
dnone,giraffe,Recall,0.06601
dnone,giraffe,Correct mitochondrial mappings,19137
dnone,giraffe,Incorrect mitochondrial mappings,32
dnone,giraffe,Mito reads mapped,1675512
dnone,giraffe,Mito reads unmapped,270794
dnone,giraffe,Bacteria reads mapped,0
dnone,giraffe,Bacteria reads unmapped,7588296
dnone,giraffe,NuMT reads mapped,1339
dnone,giraffe,NuMT reads unmapped,28425
dnone,giraffe,Precision,1.00000
dnone,giraffe,Recall,0.54804
dnone,safari,Precision,0.99833
dnone,safari,Recall,0.06610
dnone,safari,Correct mitochondrial mappings,19137
dnone,safari,Incorrect mitochondrial mappings,32
dnone,safari,Mito reads mapped,1675930
dnone,safari,Mito reads unmapped,270376
dnone,safari,Bacteria reads mapped,0
dnone,safari,Bacteria reads unmapped,7588296
dnone,safari,NuMT reads mapped,2014
dnone,safari,NuMT reads unmapped,27750
dnone,safari,Precision,1.00000
dnone,safari,Recall,0.54808
dsingle,giraffe,Precision,0.99832
dsingle,giraffe,Recall,0.06376
dsingle,giraffe,Correct mitochondrial mappings,19066
dsingle,giraffe,Incorrect mitochondrial mappings,32
dsingle,giraffe,Mito reads mapped,1666467
dsingle,giraffe,Mito reads unmapped,279960
dsingle,giraffe,Bacteria reads mapped,0
dsingle,giraffe,Bacteria reads unmapped,7588464
dsingle,giraffe,NuMT reads mapped,1418
dsingle,giraffe,NuMT reads unmapped,28780
dsingle,giraffe,Precision,1.00000
dsingle,giraffe,Recall,0.54776
dsingle,safari,Precision,0.99833
dsingle,safari,Recall,0.06402
dsingle,safari,Correct mitochondrial mappings,19073
dsingle,safari,Incorrect mitochondrial mappings,32
dsingle,safari,Mito reads mapped,1667594
dsingle,safari,Mito reads unmapped,278833
dsingle,safari,Bacteria reads mapped,0
dsingle,safari,Bacteria reads unmapped,7588464
dsingle,safari,NuMT reads mapped,2099
dsingle,safari,NuMT reads unmapped,28099
dsingle,safari,Precision,1.00000
dsingle,safari,Recall,0.54781
