Damage,Tool,Metric,Value
ddhigh,giraffe,Precision,0.99793
ddhigh,giraffe,Recall,0.03256
ddhigh,giraffe,Correct mitochondrial mappings,16408
ddhigh,giraffe,Incorrect mitochondrial mappings,34
ddhigh,giraffe,Mito reads mapped,1458769
ddhigh,giraffe,Mito reads unmapped,487491
ddhigh,giraffe,Bacteria reads mapped,0
ddhigh,giraffe,Bacteria reads unmapped,7588520
ddhigh,giraffe,NuMT reads mapped,964
ddhigh,giraffe,NuMT reads unmapped,28726
ddhigh,giraffe,Precision,1.00000
ddhigh,giraffe,Recall,0.54131
ddhigh,safari,Precision,0.99815
ddhigh,safari,Recall,0.04326
ddhigh,safari,Correct mitochondrial mappings,17277
ddhigh,safari,Incorrect mitochondrial mappings,32
ddhigh,safari,Mito reads mapped,1564160
ddhigh,safari,Mito reads unmapped,382109
ddhigh,safari,Bacteria reads mapped,0
ddhigh,safari,Bacteria reads unmapped,7588520
ddhigh,safari,NuMT reads mapped,1557
ddhigh,safari,NuMT reads unmapped,28133
ddhigh,safari,Precision,1.00000
ddhigh,safari,Recall,0.54457
ddmid,giraffe,Precision,0.99821
ddmid,giraffe,Recall,0.23159
ddmid,giraffe,Correct mitochondrial mappings,18962
ddmid,giraffe,Incorrect mitochondrial mappings,34
ddmid,giraffe,Mito reads mapped,1883041
ddmid,giraffe,Mito reads unmapped,62914
ddmid,giraffe,Bacteria reads mapped,0
ddmid,giraffe,Bacteria reads unmapped,7587504
ddmid,giraffe,NuMT reads mapped,1675
ddmid,giraffe,NuMT reads unmapped,28367
ddmid,giraffe,Precision,1.00000
ddmid,giraffe,Recall,0.55465
ddmid,safari,Precision,0.99821
ddmid,safari,Recall,0.26205
ddmid,safari,Correct mitochondrial mappings,19003
ddmid,safari,Incorrect mitochondrial mappings,34
ddmid,safari,Mito reads mapped,1892440
ddmid,safari,Mito reads unmapped,53514
ddmid,safari,Bacteria reads mapped,0
ddmid,safari,Bacteria reads unmapped,7587504
ddmid,safari,NuMT reads mapped,2815
ddmid,safari,NuMT reads unmapped,27227
ddmid,safari,Precision,1.00000
ddmid,safari,Recall,0.55499
dnone,giraffe,Precision,0.99833
dnone,giraffe,Recall,0.55332
dnone,giraffe,Correct mitochondrial mappings,19142
dnone,giraffe,Incorrect mitochondrial mappings,32
dnone,giraffe,Mito reads mapped,1930421
dnone,giraffe,Mito reads unmapped,15453
dnone,giraffe,Bacteria reads mapped,0
dnone,giraffe,Bacteria reads unmapped,7588296
dnone,giraffe,NuMT reads mapped,1589
dnone,giraffe,NuMT reads unmapped,28175
dnone,giraffe,Precision,1.00000
dnone,giraffe,Recall,0.55618
dnone,safari,Precision,0.99833
dnone,safari,Recall,0.56411
dnone,safari,Correct mitochondrial mappings,19142
dnone,safari,Incorrect mitochondrial mappings,32
dnone,safari,Mito reads mapped,1931083
dnone,safari,Mito reads unmapped,14791
dnone,safari,Bacteria reads mapped,0
dnone,safari,Bacteria reads unmapped,7588296
dnone,safari,NuMT reads mapped,2797
dnone,safari,NuMT reads unmapped,26967
dnone,safari,Precision,1.00000
dnone,safari,Recall,0.55624
dsingle,giraffe,Precision,0.99833
dsingle,giraffe,Recall,0.43813
dsingle,giraffe,Correct mitochondrial mappings,19105
dsingle,giraffe,Incorrect mitochondrial mappings,32
dsingle,giraffe,Mito reads mapped,1921538
dsingle,giraffe,Mito reads unmapped,24501
dsingle,giraffe,Bacteria reads mapped,0
dsingle,giraffe,Bacteria reads unmapped,7588464
dsingle,giraffe,NuMT reads mapped,1699
dsingle,giraffe,NuMT reads unmapped,28499
dsingle,giraffe,Precision,1.00000
dsingle,giraffe,Recall,0.55589
dsingle,safari,Precision,0.99833
dsingle,safari,Recall,0.46156
dsingle,safari,Correct mitochondrial mappings,19114
dsingle,safari,Incorrect mitochondrial mappings,32
dsingle,safari,Mito reads mapped,1923741
dsingle,safari,Mito reads unmapped,22298
dsingle,safari,Bacteria reads mapped,0
dsingle,safari,Bacteria reads unmapped,7588464
dsingle,safari,NuMT reads mapped,2919
dsingle,safari,NuMT reads unmapped,27279
dsingle,safari,Precision,1.00000
dsingle,safari,Recall,0.55600
