Damage,Tool,Metric,Value
ddhigh,giraffe,Precision,0.99765
ddhigh,giraffe,Recall,0.04709
ddhigh,giraffe,Correct mitochondrial mappings,17410
ddhigh,giraffe,Incorrect mitochondrial mappings,41
ddhigh,giraffe,Mito reads mapped,1593239
ddhigh,giraffe,Mito reads unmapped,352330
ddhigh,giraffe,Bacteria reads mapped,0
ddhigh,giraffe,Bacteria reads unmapped,7588520
ddhigh,giraffe,NuMT reads mapped,1459
ddhigh,giraffe,NuMT reads unmapped,28231
ddhigh,giraffe,Precision,1.00000
ddhigh,giraffe,Recall,0.54548
ddhigh,safari,Precision,0.99776
ddhigh,safari,Recall,0.11372
ddhigh,safari,Correct mitochondrial mappings,18700
ddhigh,safari,Incorrect mitochondrial mappings,42
ddhigh,safari,Mito reads mapped,1799607
ddhigh,safari,Mito reads unmapped,145740
ddhigh,safari,Bacteria reads mapped,136
ddhigh,safari,Bacteria reads unmapped,7588384
ddhigh,safari,NuMT reads mapped,4076
ddhigh,safari,NuMT reads unmapped,25614
ddhigh,safari,Precision,1.00000
ddhigh,safari,Recall,0.55206
ddmid,giraffe,Precision,0.99806
ddmid,giraffe,Recall,0.34139
ddmid,giraffe,Correct mitochondrial mappings,19060
ddmid,giraffe,Incorrect mitochondrial mappings,37
ddmid,giraffe,Mito reads mapped,1908603
ddmid,giraffe,Mito reads unmapped,36770
ddmid,giraffe,Bacteria reads mapped,0
ddmid,giraffe,Bacteria reads unmapped,7587504
ddmid,giraffe,NuMT reads mapped,2353
ddmid,giraffe,NuMT reads unmapped,27689
ddmid,giraffe,Precision,1.00000
ddmid,giraffe,Recall,0.55550
ddmid,safari,Precision,0.99807
ddmid,safari,Recall,0.48184
ddmid,safari,Correct mitochondrial mappings,19114
ddmid,safari,Incorrect mitochondrial mappings,37
ddmid,safari,Mito reads mapped,1924799
ddmid,safari,Mito reads unmapped,20555
ddmid,safari,Bacteria reads mapped,112
ddmid,safari,Bacteria reads unmapped,7587392
ddmid,safari,NuMT reads mapped,5851
ddmid,safari,NuMT reads unmapped,24191
ddmid,safari,Precision,1.00000
ddmid,safari,Recall,0.55614
dnone,giraffe,Precision,0.99812
dnone,giraffe,Recall,0.67469
dnone,giraffe,Correct mitochondrial mappings,19149
dnone,giraffe,Incorrect mitochondrial mappings,36
dnone,giraffe,Mito reads mapped,1936098
dnone,giraffe,Mito reads unmapped,9233
dnone,giraffe,Bacteria reads mapped,0
dnone,giraffe,Bacteria reads unmapped,7588296
dnone,giraffe,NuMT reads mapped,2362
dnone,giraffe,NuMT reads unmapped,27402
dnone,giraffe,Precision,1.00000
dnone,giraffe,Recall,0.55639
dnone,safari,Precision,0.99812
dnone,safari,Recall,0.70650
dnone,safari,Correct mitochondrial mappings,19149
dnone,safari,Incorrect mitochondrial mappings,36
dnone,safari,Mito reads mapped,1937376
dnone,safari,Mito reads unmapped,7955
dnone,safari,Bacteria reads mapped,88
dnone,safari,Bacteria reads unmapped,7588208
dnone,safari,NuMT reads mapped,5555
dnone,safari,NuMT reads unmapped,24209
dnone,safari,Precision,1.00000
dnone,safari,Recall,0.55654
dsingle,giraffe,Precision,0.99812
dsingle,giraffe,Recall,0.57654
dsingle,giraffe,Correct mitochondrial mappings,19133
dsingle,giraffe,Incorrect mitochondrial mappings,36
dsingle,giraffe,Mito reads mapped,1931352
dsingle,giraffe,Mito reads unmapped,14053
dsingle,giraffe,Bacteria reads mapped,0
dsingle,giraffe,Bacteria reads unmapped,7588464
dsingle,giraffe,NuMT reads mapped,2412
dsingle,giraffe,NuMT reads unmapped,27786
dsingle,giraffe,Precision,1.00000
dsingle,giraffe,Recall,0.55623
dsingle,safari,Precision,0.99812
dsingle,safari,Recall,0.65465
dsingle,safari,Correct mitochondrial mappings,19142
dsingle,safari,Incorrect mitochondrial mappings,36
dsingle,safari,Mito reads mapped,1935307
dsingle,safari,Mito reads unmapped,10098
dsingle,safari,Bacteria reads mapped,8
dsingle,safari,Bacteria reads unmapped,7588456
dsingle,safari,NuMT reads mapped,5638
dsingle,safari,NuMT reads unmapped,24560
dsingle,safari,Precision,1.00000
dsingle,safari,Recall,0.55646
