Damage,Tool,Metric,Value
ddhigh,giraffe,Precision,0.99820
ddhigh,giraffe,Recall,0.00677
ddhigh,giraffe,Correct mitochondrial mappings,9432
ddhigh,giraffe,Incorrect mitochondrial mappings,17
ddhigh,giraffe,Mito reads mapped,565499
ddhigh,giraffe,Mito reads unmapped,1382835
ddhigh,giraffe,Bacteria reads mapped,0
ddhigh,giraffe,Bacteria reads unmapped,7588520
ddhigh,giraffe,NuMT reads mapped,111
ddhigh,giraffe,NuMT reads unmapped,29579
ddhigh,giraffe,Precision,1.00000
ddhigh,giraffe,Recall,0.51523
ddhigh,safari,Precision,0.99818
ddhigh,safari,Recall,0.00780
ddhigh,safari,Correct mitochondrial mappings,10392
ddhigh,safari,Incorrect mitochondrial mappings,19
ddhigh,safari,Mito reads mapped,625732
ddhigh,safari,Mito reads unmapped,1322527
ddhigh,safari,Bacteria reads mapped,0
ddhigh,safari,Bacteria reads unmapped,7588520
ddhigh,safari,NuMT reads mapped,533
ddhigh,safari,NuMT reads unmapped,29157
ddhigh,safari,Precision,1.00000
ddhigh,safari,Recall,0.51692
ddmid,giraffe,Precision,0.99825
ddmid,giraffe,Recall,0.01528
ddmid,giraffe,Correct mitochondrial mappings,14848
ddmid,giraffe,Incorrect mitochondrial mappings,26
ddmid,giraffe,Mito reads mapped,990905
ddmid,giraffe,Mito reads unmapped,956848
ddmid,giraffe,Bacteria reads mapped,0
ddmid,giraffe,Bacteria reads unmapped,7587504
ddmid,giraffe,NuMT reads mapped,306
ddmid,giraffe,NuMT reads unmapped,29736
ddmid,giraffe,Precision,1.00000
ddmid,giraffe,Recall,0.52732
ddmid,safari,Precision,0.99826
ddmid,safari,Recall,0.01548
ddmid,safari,Correct mitochondrial mappings,14933
ddmid,safari,Incorrect mitochondrial mappings,26
ddmid,safari,Mito reads mapped,997932
ddmid,safari,Mito reads unmapped,949813
ddmid,safari,Bacteria reads mapped,0
ddmid,safari,Bacteria reads unmapped,7587504
ddmid,safari,NuMT reads mapped,730
ddmid,safari,NuMT reads unmapped,29312
ddmid,safari,Precision,1.00000
ddmid,safari,Recall,0.52754
dnone,giraffe,Precision,0.99852
dnone,giraffe,Recall,0.01703
dnone,giraffe,Correct mitochondrial mappings,15512
dnone,giraffe,Incorrect mitochondrial mappings,23
dnone,giraffe,Mito reads mapped,1052263
dnone,giraffe,Mito reads unmapped,895384
dnone,giraffe,Bacteria reads mapped,0
dnone,giraffe,Bacteria reads unmapped,7588296
dnone,giraffe,NuMT reads mapped,284
dnone,giraffe,NuMT reads unmapped,29480
dnone,giraffe,Precision,1.00000
dnone,giraffe,Recall,0.52911
dnone,safari,Precision,0.99852
dnone,safari,Recall,0.01704
dnone,safari,Correct mitochondrial mappings,15514
dnone,safari,Incorrect mitochondrial mappings,23
dnone,safari,Mito reads mapped,1052727
dnone,safari,Mito reads unmapped,894920
dnone,safari,Bacteria reads mapped,0
dnone,safari,Bacteria reads unmapped,7588296
dnone,safari,NuMT reads mapped,713
dnone,safari,NuMT reads unmapped,29051
dnone,safari,Precision,1.00000
dnone,safari,Recall,0.52914
dsingle,giraffe,Precision,0.99838
dsingle,giraffe,Recall,0.01668
dsingle,giraffe,Correct mitochondrial mappings,15382
dsingle,giraffe,Incorrect mitochondrial mappings,25
dsingle,giraffe,Mito reads mapped,1040725
dsingle,giraffe,Mito reads unmapped,907039
dsingle,giraffe,Bacteria reads mapped,0
dsingle,giraffe,Bacteria reads unmapped,7588464
dsingle,giraffe,NuMT reads mapped,301
dsingle,giraffe,NuMT reads unmapped,29897
dsingle,giraffe,Precision,1.00000
dsingle,giraffe,Recall,0.52877
dsingle,safari,Precision,0.99838
dsingle,safari,Recall,0.01673
dsingle,safari,Correct mitochondrial mappings,15403
dsingle,safari,Incorrect mitochondrial mappings,25
dsingle,safari,Mito reads mapped,1042627
dsingle,safari,Mito reads unmapped,905137
dsingle,safari,Bacteria reads mapped,0
dsingle,safari,Bacteria reads unmapped,7588464
dsingle,safari,NuMT reads mapped,788
dsingle,safari,NuMT reads unmapped,29410
dsingle,safari,Precision,1.00000
dsingle,safari,Recall,0.52884
