Damage,Tool,Metric,Value
ddhigh,giraffe,Precision,0.99771
ddhigh,giraffe,Recall,0.12718
ddhigh,giraffe,Correct mitochondrial mappings,18725
ddhigh,giraffe,Incorrect mitochondrial mappings,43
ddhigh,giraffe,Mito reads mapped,1816424
ddhigh,giraffe,Mito reads unmapped,128511
ddhigh,giraffe,Bacteria reads mapped,0
ddhigh,giraffe,Bacteria reads unmapped,7588520
ddhigh,giraffe,NuMT reads mapped,3801
ddhigh,giraffe,NuMT reads unmapped,25889
ddhigh,giraffe,Precision,1.00000
ddhigh,giraffe,Recall,0.55259
ddhigh,safari,Precision,0.99769
ddhigh,safari,Recall,0.27189
ddhigh,safari,Correct mitochondrial mappings,19033
ddhigh,safari,Incorrect mitochondrial mappings,44
ddhigh,safari,Mito reads mapped,1893828
ddhigh,safari,Mito reads unmapped,50970
ddhigh,safari,Bacteria reads mapped,136
ddhigh,safari,Bacteria reads unmapped,7588384
ddhigh,safari,NuMT reads mapped,5041
ddhigh,safari,NuMT reads unmapped,24649
ddhigh,safari,Precision,1.00000
ddhigh,safari,Recall,0.55512
ddmid,giraffe,Precision,0.99807
ddmid,giraffe,Recall,0.71415
ddmid,giraffe,Correct mitochondrial mappings,19145
ddmid,giraffe,Incorrect mitochondrial mappings,37
ddmid,giraffe,Mito reads mapped,1937571
ddmid,giraffe,Mito reads unmapped,7663
ddmid,giraffe,Bacteria reads mapped,176
ddmid,giraffe,Bacteria reads unmapped,7587328
ddmid,giraffe,NuMT reads mapped,5315
ddmid,giraffe,NuMT reads unmapped,24727
ddmid,giraffe,Precision,1.00000
ddmid,giraffe,Recall,0.55654
ddmid,safari,Precision,0.99807
ddmid,safari,Recall,0.81969
ddmid,safari,Correct mitochondrial mappings,19148
ddmid,safari,Incorrect mitochondrial mappings,37
ddmid,safari,Mito reads mapped,1941001
ddmid,safari,Mito reads unmapped,4212
ddmid,safari,Bacteria reads mapped,176
ddmid,safari,Bacteria reads unmapped,7587328
ddmid,safari,NuMT reads mapped,7449
ddmid,safari,NuMT reads unmapped,22593
ddmid,safari,Precision,1.00000
ddmid,safari,Recall,0.55672
dnone,giraffe,Precision,0.99812
dnone,giraffe,Recall,0.91548
dnone,giraffe,Correct mitochondrial mappings,19151
dnone,giraffe,Incorrect mitochondrial mappings,36
dnone,giraffe,Mito reads mapped,1943392
dnone,giraffe,Mito reads unmapped,1768
dnone,giraffe,Bacteria reads mapped,96
dnone,giraffe,Bacteria reads unmapped,7588200
dnone,giraffe,NuMT reads mapped,5446
dnone,giraffe,NuMT reads unmapped,24318
dnone,giraffe,Precision,1.00000
dnone,giraffe,Recall,0.55673
dnone,safari,Precision,0.99812
dnone,safari,Recall,0.93093
dnone,safari,Correct mitochondrial mappings,19151
dnone,safari,Incorrect mitochondrial mappings,36
dnone,safari,Mito reads mapped,1943739
dnone,safari,Mito reads unmapped,1421
dnone,safari,Bacteria reads mapped,96
dnone,safari,Bacteria reads unmapped,7588200
dnone,safari,NuMT reads mapped,7264
dnone,safari,NuMT reads unmapped,22500
dnone,safari,Precision,1.00000
dnone,safari,Recall,0.55680
dsingle,giraffe,Precision,0.99812
dsingle,giraffe,Recall,0.86825
dsingle,giraffe,Correct mitochondrial mappings,19151
dsingle,giraffe,Incorrect mitochondrial mappings,36
dsingle,giraffe,Mito reads mapped,1942369
dsingle,giraffe,Mito reads unmapped,2906
dsingle,giraffe,Bacteria reads mapped,104
dsingle,giraffe,Bacteria reads unmapped,7588360
dsingle,giraffe,NuMT reads mapped,5546
dsingle,giraffe,NuMT reads unmapped,24652
dsingle,giraffe,Precision,1.00000
dsingle,giraffe,Recall,0.55669
dsingle,safari,Precision,0.99812
dsingle,safari,Recall,0.89864
dsingle,safari,Correct mitochondrial mappings,19151
dsingle,safari,Incorrect mitochondrial mappings,36
dsingle,safari,Mito reads mapped,1943104
dsingle,safari,Mito reads unmapped,2160
dsingle,safari,Bacteria reads mapped,104
dsingle,safari,Bacteria reads unmapped,7588360
dsingle,safari,NuMT reads mapped,7138
dsingle,safari,NuMT reads unmapped,23060
dsingle,safari,Precision,1.00000
dsingle,safari,Recall,0.55677
