Damage,Tool,Metric,Value
ddhigh,giraffe,Precision,0.99731
ddhigh,giraffe,Recall,0.00921
ddhigh,giraffe,Correct mitochondrial mappings,11139
ddhigh,giraffe,Incorrect mitochondrial mappings,30
ddhigh,giraffe,Mito reads mapped,749500
ddhigh,giraffe,Mito reads unmapped,1197801
ddhigh,giraffe,Bacteria reads mapped,0
ddhigh,giraffe,Bacteria reads unmapped,7588520
ddhigh,giraffe,NuMT reads mapped,191
ddhigh,giraffe,NuMT reads unmapped,29499
ddhigh,giraffe,Precision,1.00000
ddhigh,giraffe,Recall,0.52039
ddhigh,safari,Precision,0.99755
ddhigh,safari,Recall,0.01214
ddhigh,safari,Correct mitochondrial mappings,13026
ddhigh,safari,Incorrect mitochondrial mappings,32
ddhigh,safari,Mito reads mapped,887331
ddhigh,safari,Mito reads unmapped,1059869
ddhigh,safari,Bacteria reads mapped,0
ddhigh,safari,Bacteria reads unmapped,7588520
ddhigh,safari,NuMT reads mapped,1054
ddhigh,safari,NuMT reads unmapped,28636
ddhigh,safari,Precision,1.00000
ddhigh,safari,Recall,0.52435
ddmid,giraffe,Precision,0.99805
ddmid,giraffe,Recall,0.02453
ddmid,giraffe,Correct mitochondrial mappings,16874
ddmid,giraffe,Incorrect mitochondrial mappings,33
ddmid,giraffe,Mito reads mapped,1275851
ddmid,giraffe,Mito reads unmapped,670995
ddmid,giraffe,Bacteria reads mapped,0
ddmid,giraffe,Bacteria reads unmapped,7587504
ddmid,giraffe,NuMT reads mapped,643
ddmid,giraffe,NuMT reads unmapped,29399
ddmid,giraffe,Precision,1.00000
ddmid,giraffe,Recall,0.53575
ddmid,safari,Precision,0.99806
ddmid,safari,Recall,0.02532
ddmid,safari,Correct mitochondrial mappings,17018
ddmid,safari,Incorrect mitochondrial mappings,33
ddmid,safari,Mito reads mapped,1291695
ddmid,safari,Mito reads unmapped,655125
ddmid,safari,Bacteria reads mapped,112
ddmid,safari,Bacteria reads unmapped,7587392
ddmid,safari,NuMT reads mapped,1493
ddmid,safari,NuMT reads unmapped,28549
ddmid,safari,Precision,1.00000
ddmid,safari,Recall,0.53626
dnone,giraffe,Precision,0.99823
dnone,giraffe,Recall,0.02860
dnone,giraffe,Correct mitochondrial mappings,17530
dnone,giraffe,Incorrect mitochondrial mappings,31
dnone,giraffe,Mito reads mapped,1351355
dnone,giraffe,Mito reads unmapped,595364
dnone,giraffe,Bacteria reads mapped,0
dnone,giraffe,Bacteria reads unmapped,7588296
dnone,giraffe,NuMT reads mapped,596
dnone,giraffe,NuMT reads unmapped,29168
dnone,giraffe,Precision,1.00000
dnone,giraffe,Recall,0.53802
dnone,safari,Precision,0.99824
dnone,safari,Recall,0.02866
dnone,safari,Correct mitochondrial mappings,17538
dnone,safari,Incorrect mitochondrial mappings,31
dnone,safari,Mito reads mapped,1352321
dnone,safari,Mito reads unmapped,594398
dnone,safari,Bacteria reads mapped,88
dnone,safari,Bacteria reads unmapped,7588208
dnone,safari,NuMT reads mapped,1459
dnone,safari,NuMT reads unmapped,28305
dnone,safari,Precision,1.00000
dnone,safari,Recall,0.53808
dsingle,giraffe,Precision,0.99816
dsingle,giraffe,Recall,0.02777
dsingle,giraffe,Correct mitochondrial mappings,17403
dsingle,giraffe,Incorrect mitochondrial mappings,32
dsingle,giraffe,Mito reads mapped,1337511
dsingle,giraffe,Mito reads unmapped,609379
dsingle,giraffe,Bacteria reads mapped,0
dsingle,giraffe,Bacteria reads unmapped,7588464
dsingle,giraffe,NuMT reads mapped,609
dsingle,giraffe,NuMT reads unmapped,29589
dsingle,giraffe,Precision,1.00000
dsingle,giraffe,Recall,0.53760
dsingle,safari,Precision,0.99817
dsingle,safari,Recall,0.02799
dsingle,safari,Correct mitochondrial mappings,17438
dsingle,safari,Incorrect mitochondrial mappings,32
dsingle,safari,Mito reads mapped,1341307
dsingle,safari,Mito reads unmapped,605545
dsingle,safari,Bacteria reads mapped,8
dsingle,safari,Bacteria reads unmapped,7588456
dsingle,safari,NuMT reads mapped,1461
dsingle,safari,NuMT reads unmapped,28737
dsingle,safari,Precision,1.00000
dsingle,safari,Recall,0.53774
